"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44053871604.8848","49421717107.9155","49930801529.3868","50288176611.326","50073800129.2586","44974379717.8658","50377572522.5214","45656083385.577","44492603305.0723","61469421033.0469","79793379014.5231","95936683324.1611","112340458240.663","139630761291.141","164487879540.448","167115973840.027","179879982873.071","203071612453.385","205023726644.249","212252091335.966","221398016429.563","199069472851.683","177410743446.909","201930814479.587","205851756490.755","212636239007.119","191133587039.804","216345722205.226","242526247670.557","243096541700.893",
"Afghanistan","AFG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2286077062.63851","1851903350.80921","2416468993.5615","2611035402.48857",
"Africa Western and Central","AFW","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","4635608555.6864","5285880612.1483","7208752387.72439","10275043781.4085","11496406184.7844","16418319977.3192","25870974660.1491","30086198764.6834","23662041927.3142","29504001447.8135","34165589909.2004","34617924621.3112","37362059352.7324","25528682845.4587","13830515985.5165","17127299174.1673","13661306397.6792","12557628119.3678","12848257810.8315","17582201885.3611","27411216560.0962","20182542151.2663",
"Albania","ALB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","554631600","581235407.925408","641958006.993007","690326317.016317","712237773.892774","634615407.925408","673124987.5","698499962.5","670374975","731750012.5","615888125","83600694.4444444","36891479.0257555","162105372.688304","355435476.998047","509144791.391354","697344164.820387","454308793.456033","547094469.436359","756233236.784938","1110462752.06933","1440560838.08993","1567718712.47484","2014184689.59659","2715501613.89921","3053335680.91256","3386757725.98531","3884917081.006","4373128812.90911","3939528388.22247","3390642976.84281","3785530667.05936","3263361079.4452","3331982829.01199","3195744975.35078","2779928277.70372","2890329017.05701","3199793450.36134","3986304550.48181","3834690773.92535","3840479091.19803","4906623652.04743","4888274427.19857","5663070907.61363",
"Andorra","AND","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","7092185559.55739","7813008129.94193","8446308515.82459","10571750184.3507","14604059585.0407","22954358970.8005","40466065772.3204","55504618412.6572","69581873025.6219","84811945012.9765","97472770576.6441","119490003819.384","140310534608.016","147352364297.046","141286685121.035","129439166199.432","119118088241.267","117652585393.673","111360250420.639","104645634097.639","116565708637.259","129944725947.658","106536946694.517","109966039828.677","116354592889.499","115660588670.966","116897122474.618","119928367913.018","127088782528.481","132360021163.848","134876150208.342","139993244521.672","144864109508.862","148827206441.291","166947898122.536","197594671163.339","242593730437.226","296418331878.282","378177409213.49","484238538263.256","460486683851.883","526540039307.678","570078399355.854","589205997131.237","636457048360.665","673478070810.132","652130753606.311","605298918830.061","600731091483.314","634052001170.846","667808407796.336","554261610563.651","625050970920.37","750034053009.443","777196590405.19",
"United Arab Emirates","ARE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21672821592.9204","23139830197.4132","25853443648.7406","27619676405.7182","33195915588.8359","39044114853.6419","60798638529.612","70583970646.6984","73308153410.4833","","","","","","","","","","","","","","",
"Argentina","ARG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","5313239494.54505","3338776681.37774","4398700136.20025","5448823347.47535","5881428621.0885","5146060702.23671","5734285805.39451","7498571825.73388","7719211096.5115","8027999890.81471","8298250320.65817","10978444355.8423","16124666971.2541","15438486959.3817","15724100557.7079","17569000350.9751","24775243742.3944","16561791982.7053","19438878223.106","17852632104.7179","18341049876.2973","21718898273.9138","23341029089.7944","15504919334.872","18487184064.1619","21277822815.3887","23652389169.8899","11888871206.2989","19785101598.3575","27769271211.3267","38211583094.5993","45114528828.8288","51330897900","46285080200","49210611100","56727150100","59595219100","51073902400","46020116800","38098830100","11688424248.1085","19313487764.3146","26170381202.9054","34483165290.6659","42630505717.2557","56114681625.8495","68732764883.4796","51883572175.6764","70497814077.3976","91443182251.6994","86579294008.072","89922196966.4496","84105642157.6515","92571210122.056","79573035277.0583","97588216231.8032","80040541570.5404","63576894130.6922","55093408839.0922","84130008264.3843","111187022258.29","119976765470.218",
"Armenia","ARM","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000807464.56128","589350649.350649","217234304.472712","149628363.947031","266139192.449816","237191344.097404","285610085.982031","265666530.778638","307086223.984143","303020222.031174","415076937.904753","441434619.680755","590351792.099067","760341932.028267","1005308838.69154","1719780114.94106","2671936619.99676","4005158268.70881","5461720355.04204","3708570836.91981","3646247650.81183","3117355034.88016","2506036031.46341","2359141978.64549","2321328836.79646","2175313196.36182","1830568762.55831","2034409256.04859","2085572748.25742","2153972300.96592","2246925551.09722","2942875717.09312","4111322790.18523","5027193232.77619",
"American Samoa","ASM","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","5631360901.01774","5961760953.88175","5934880949.58095","6367201018.75216","7152321144.37138","8078561292.56981","8812161409.94583","9569281531.08504","10626561700.2499","11512481841.9971","13007682081.2291","13855522216.8836","15649532710.2804","18556053811.6592","25338246131.1717","25150894442.1685","27536673969.1079","28454920853.4067","31186698367.2972","35993411337.0442","39607799442.8969","50231046093.1151","56180072823.5684","47064075423.8097","50384346484.1896","48802975551.722","51347929490.7666","52930121757.5437","65562773208.5378","86060020779.9314","86141500700.6471","80085800328.2263","74345265469.9154","73306632939.8539","77360083016.2574","92392337392.3374","96918742853.7611","104721232240.989","100553483008.886","98873919037.4734","107944111876.729","88084589369.3363","96157619384.7231","121847408270.239","163687580025.608","187913504655.158","207978748096.358","234256889377.404","297946916345.704","256355489193.018","310572163404.795","363968714228.952","424167991734.054","439148852350.033","394597467838.464","354280736581.384","306339207202.381","319073358025.082","349492295290.361","326122918676.679","303039850484.431","352428483680.121","392003151953.319","402523253779.16",
"Austria","AUT","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","4231210902.35512","5296404339.68499","7096587892.13644","8959997891.62977","10642120877.5029","11369552026.5466","11908106159.3925","14735427524.769","16503200037.9039","19868313947.5039","22651336949.5852","19542997235.1823","17688886827.4583","17268372912.5172","15936320060.5185","16706131949.9867","23635977467.3276","30344996734.8716","33591938036.3312","33876799791.9917","42698138690.5482","46467279905.716","51346339844.7283","49122578966.0476","53840939645.8258","61659628770.3016","61298685989.0824","54076789942.4963","55532203201.4229","54276743872.1816","50430540081.2644","48977667301.6591","50278702359.9303","63093389266.3607","71117068634.9643","72945522496.498","76233008314.0199","89493974284.1089","101015152187.134","90493957757.2734","85220858883.0002","97404293167.4516","93360395814.9785","99444916691.0062","100723945653.905","86900730957.521","91815412686.7286","98943059189.9872","110039020647.918","111100792408.627","109182608292.595","124324579160.234","120180448962.652","127415961958.696",
"Azerbaijan","AZE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800000000","612000000","97011070.1107011","329057264.316079","313303507.459122","378154068.894732","924611713.065807","1465734090.26754","1579090204.18713","1306137011.50318","1219895153.38651","1305999997.8525","2125258701.20679","3847900413.9914","5009484113.09296","5471530672.57867","6231832961.17836","7072404454.3679","9075971860.47078","8335583111.36215","9611886369.29978","13307694450.7057","15646761578.0664","19128891925.3423","20638569408.6928","14768623531.5705","9479846740.22167","9733289564.27515","9749490740.38671","10179000000","9677000000","8896588235.29412","9466058823.52941","10745235294.1176",
"Burundi","BDI","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","12249999.987995","13999999.98628","15749999.984565","13999999.98628","13999999.98628","8808296.28794473","11196571.4174388","12311999.9877584","15044571.4136128","15822857.1271247","9701714.27606801","12817142.8454243","12995428.5714286","17391829.5389832","22449523.8095238","38971428.5714286","40753623.1884058","61304333.3333333","85656666.6666667","116718888.888889","127711111.111111","131454444.444444","153330000","209144701.452394","173619580.653245","164504101.416853","168005605.675747","243436387.180317","163552833.078101","184531124.934611","172567224.314619","173915917.868142","110387272.38686","104192751.235585","64303043.9755722","64457594.9519134","72696284.0627581","59316021.0018448","60522706.2959045","47554830.0092271","24209416.2376677","39177455.289938","32592024.8715087","61742809.1112302","94702564.2423086","204431693.591771","219185870.467592","200533856.904958","214518568.349259","327340123.131836","334497223.324697","345339234.922986","346225062.380606","329315232.996425","389715520.835999","382602034.351798","248678408.174876","244688537.850197","296148978.521953","364028880.611967","303281607.82598","363979657.572312","446950511.835006","343147367.259302",
