DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1967-12-31,53.3382,,
1968-12-31,64.8392,21.56,
1969-12-31,74.3422,14.66,
1970-12-31,79.4135,6.82,
1971-12-31,78.8658,-0.69,
1972-12-31,90.5121,14.77,
1973-12-31,130.4897,44.17,
1974-12-31,201.6677,54.55,
1975-12-31,232.1706,15.13,
1976-12-31,277.0508,19.33,
1977-12-31,332.2821,19.94,
1978-12-31,364.2858,9.63,
1979-12-31,355.236,-2.48,
1980-12-31,489.1602,37.7,
1981-12-31,563.7834,15.26,
1982-12-31,580.8106,3.02,
1983-12-31,510.435,-12.12,
1984-12-31,522.7171,2.41,
1985-12-31,514.4376,-1.58,
1986-12-31,472.7226,-8.11,
1987-12-31,440.3724,-6.84,
1988-12-31,479.8107,8.96,
1989-12-31,527.8115,10,
1990-12-31,582.679,10.4,
1991-12-31,629.1607,7.98,
1992-12-31,678.9777,7.92,
1993-12-31,824.0791,21.37,
1994-12-31,907.4718,10.12,
1995-12-31,1020.1467,12.42,
1996-12-31,1129.0927,10.68,
1997-12-31,1054.3474,-6.62,
1998-12-31,459.1919,-56.45,
1999-12-31,663.5232,44.5,
2000-12-31,770.8654,16.18,
2001-12-31,739.0039,-4.13,
2002-12-31,888.9014,20.28,
2003-12-31,1052.4132,18.39,
2004-12-31,1136.7552,8.01,
2005-12-31,1249.3977,9.91,
2006-12-31,1572.7979,25.88,
2007-12-31,1840.3299,17.01,
2008-12-31,2144.3895,16.52,
2009-12-31,2239.0953,4.42,
2010-12-31,3094.4431,38.2,
2011-12-31,3613.8009,16.78,
2012-12-31,3668.2121,1.51,
2013-12-31,3602.8855,-1.78,
2014-12-31,3476.6249,-3.5,
2015-12-31,3322.5817,-4.43,
2016-12-31,3558.8189,7.11,
2017-12-31,3839.7851,7.89,
2018-12-31,3902.6617,1.64,
2019-12-31,4151.2276,6.37,
2020-12-31,3895.6182,-6.16,
2021-12-31,4334.2315,11.26,
2022-12-31,4787.9124,10.47,
2023-12-31,4940.5498,3.19,
