DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1991-12-31,51.375,,
1992-12-31,51.472,0.1,
1993-12-31,50.069,-1.4,
1994-12-31,52.968,2.9,
1995-12-31,52.549,-0.42,
1996-12-31,52.129,-0.42,
1997-12-31,50.658,-1.47,
1998-12-31,50.28,-0.38,
1999-12-31,51.603,1.32,
2000-12-31,51.798,0.2,
2001-12-31,50.667,-1.13,
2002-12-31,50.053,-0.61,
2003-12-31,49.278,-0.77,
2004-12-31,50.413,1.14,
2005-12-31,47.615,-2.8,
2006-12-31,48.63,1.02,
2007-12-31,50.576,1.95,
2008-12-31,49.372,-1.2,
2009-12-31,48.053,-1.32,
2010-12-31,47.132,-0.92,
2011-12-31,46.771,-0.36,
2012-12-31,48.071,1.3,
2013-12-31,47.062,-1.01,
2014-12-31,45.881,-1.18,
2015-12-31,46.302,0.42,
2016-12-31,46.261,-0.04,
2017-12-31,46.443,0.18,
2018-12-31,47.61,1.17,
2019-12-31,48.092,0.48,
2020-12-31,47.081,-1.01,
2021-12-31,44.752,-2.33,
2022-12-31,45.293,0.54,
2023-12-31,45.827,0.53,
