"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","51.74","","","","","","","","","","","","51.02","","","","","","","","","56.84","","","","","","","","","","61.67","","","","","","","","","63.5","","","","","","","66.2","","","63.91","63.8","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","24.6","49.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.266","","","","46.956","","51.725","","","47.305","","","41.579","49.73","","",
"Africa Western and Central","AFW","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.0001565132548","","61.2962831946119","","","74.9494013005139","",
"Angola","AGO","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","48.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.253","","","","","67.017","77.26","86.61","","","43.556","","","","","75.021","","76.372","75.247","",
"Albania","ALB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","44.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.32","48.07","47.36","46.69","42.51","","40.29","38.81","58.4","58.4","57.2","55.6","","59.61","35","34.79","34.5","34.45","48.728","53.192","54.993","55.202","59.938","56.995","52.418","53.42","55.497","57.314","58.057","59.296","60.306","59.367","59.684","62.161","63.882",
"Andorra","AND","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.45","59.46","56.69","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5156517334661","47.8453838416917","46.102924358222","","48.0525686733515","47.0652375333255","","45.7990546008537","","49.1358819783378","","","","","","","",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","73.31","","","","","75.25","","","","","","","","","","","","","","","75.2","","","","","","","","","","77.5","","","72.56","72.37","","","","","","","80.57","80.774","81.012","80.2","80.354","76.808","77.379","78.454",
"Argentina","ARG","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","53.63","","","","","","","","","","53.36","","","","","","","53.4","53.37","53.31","51.2","","","53.74","","53.38","","53.36","","53.42","53.38","56.69","50.3","51.8","51.3","58.19","59.5","59.5","59.9","60.4","57.72","56.8","57.9","60.25","61.943","61.511","61.795","61","60.428","60.78","60.187","60.651","60.362","59.962","59.444","","","58.808","59.595","60.289","56.023","60.358","61.484","62.286",
